Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4320776902,2017-11-18T00:00:00,937.0,,,CA,4.0,,CHEV,PA,WT,AF 9952 INDEPENDENCE AVE,00372,53.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0
4285169630,2016-06-27T00:00:00,1043.0,,,CA,1.0,,OTHR,TK,BN,3337 OLYMPIC BLVD E,00638,56.0,22500H,DOUBLE PARKING,68.0,99999.0,99999.0
4250999572,2015-02-12T00:00:00,2127.0,,,CA,201502.0,,TOYT,PA,MR,1613 CENTURY BLVD E,00500,55.0,22500E,BLOCKING DRIVEWAY,68.0,6487146.4,1802714.8
4250021160,2014-12-30T00:00:00,1948.0,,,CA,201503.0,,JEEP,PA,BK,1401 N IVAR AV,00477,54.0,80.66.1D,RESTRICTED TAXI ZONE,68.0,6462134.0,1857546.0
1112075473,2015-12-28T00:00:00,825.0,,,CA,201610.0,,FORD,,GY,401 WORLD WAY,2C9B,2.0,8069B,NO PARKING,73.0,6437904.4,1801967.7
4268953754,2015-10-13T00:00:00,1604.0,SC376,,CA,201605.0,,BMW,PA,BK,11400 VENTURA BL,00107,53.0,88.13B+,METER EXP.,63.0,6446996.2,1873508.8
4273557606,2015-12-31T00:00:00,1414.0,OS874,,CA,201607.0,,GMC,PA,BK,2300 PURDUE AV,00901,51.0,88.13B+,METER EXP.,63.0,6427788.7,1835618.9
4269295962,2015-11-16T00:00:00,1008.0,,,CA,201601.0,,NISS,TK,BK,2236 MARVIN AVE,00157,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6451648.4,1836170.1
4295814375,2016-10-13T00:00:00,833.0,,,CA,201706.0,,TOYT,PA,GY,5826 CRANER AVE,00354,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6450000.31258114,1886736.53530147
4316949873,2017-10-04T00:00:00,127.0,,,CA,201702.0,,CHEV,PA,BL,520 6TH ST E,00600,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6484601.532319999,1840014.0155180001
4280510791,2016-04-16T00:00:00,16.0,,,CA,201605.0,,TOYT,PA,WT,3412 4TH ST W,402,54.0,80.56E1,WHITE ZONE,58.0,6472906.4,1847027.9
4324227806,2018-01-31T00:00:00,1116.0,36,,CA,201809.0,,LEXS,PA,BK,5200 9TH ST W,00476,54.0,80.58L,PREFERENTIAL PARKING,68.0,6458109.315847,1843958.937893
4297853221,2016-11-28T00:00:00,1207.0,,,CA,201609.0,,STRN,PA,RD,1702 FULLER AVE N,00487,54.0,80.56E4+,RED ZONE,93.0,6456028.433019999,1859561.560664
4291841945,2016-08-25T00:00:00,224.0,,,CA,201707.0,,CHEV,PA,WT,555 MAIN ST S,00601,56.0,80.69B,NO PARKING,73.0,6486268.7,1839327.1
4336631504,2018-08-09T00:00:00,1309.0,30,,CA,201901.0,,VOLK,PA,WT,800 BLOCK ALFRED ST N,00474,54.0,80.58L,PREFERENTIAL PARKING,68.0,99999.0,99999.0
4306544325,2017-04-20T00:00:00,902.0,,,CA,201803.0,,FORD,PA,GY,527 MIDVALE AVE,158R1,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6424621.476083,1847333.7733939998
4289117011,2016-08-01T00:00:00,142.0,,,CA,201612.0,,FORD,PA,GY,6100 98TH ST W,00501,51.0,80.69B,NO PARKING,73.0,6442475.2,1803451.2
4340577754,2018-10-01T00:00:00,1538.0,SC655,,CA,,,TOYT,PA,GY,12901 VENTURA BL,00358,53.0,88.13B+,METER EXP.,63.0,6436482.280882,1875451.007253
4329086985,2018-03-20T00:00:00,1401.0,,,CA,201806.0,,NISS,PA,BK,6301 COMMODORE SLOAT DR,00175,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6450282.119639,1844399.982617
4323437252,2017-12-26T00:00:00,1245.0,,,CA,,,LEXS,PA,BK,1484 REXFORD DR,00176,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6442241.199383,1841840.946209
4323355562,2017-12-28T00:00:00,1040.0,,,CA,6.0,,LEXS,PA,SL,1200 BARRINGTON AVE,00158,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6422043.8402889995,1840682.8226049999
4263660450,2015-07-30T00:00:00,813.0,,,CA,201601.0,,TOYT,PA,GY,551 32ND ST E,00536,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6473765.4,1718849.7
4253131676,2015-02-26T00:00:00,149.0,,,CA,201512.0,,HOND,PA,BK,1614 CAHUENGA BLVD,00402,54.0,80.69B,NO PARKING,73.0,99999.0,99999.0
4326329254,2018-03-23T00:00:00,1338.0,,,CA,9.0,,MAZD,PA,GY,5462 WASHINGTON BLVD,102R,51.0,5204A-,DISPLAY OF TABS,25.0,6451790.336543,1836370.487851
4331812295,2018-05-11T00:00:00,1041.0,,,CA,201805.0,,TOYT,VN,GY,5849 VARNA AVE,00364,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
4323363870,2018-01-31T00:00:00,1049.0,,,CA,201709.0,,FORD,PA,BK,1500 SCHRADER BL,00489,54.0,5204A-,DISPLAY OF TABS,25.0,6461016.934839,1858206.886219
4326570323,2018-03-01T00:00:00,341.0,,,CA,201811.0,,CHRY,PA,BK,2001 MIRAMAR STREET,00600,56.0,80.56E4+,RED ZONE,93.0,6479741.438535,1845556.1602490002
4279888992,2016-04-08T00:00:00,1213.0,V6104,,OH,201605.0,,HUMM,PA,GY,228 MAIN ST S,00168,51.0,88.13B+,METER EXP.,63.0,6416589.4,1821662.9
